measure,ranking_code,ranking_label,window,participant,rank,value_brl_or_count,share
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,JGP FINANCIAL ADVISORY,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,ORIZ ASSESSORIA FINANCEIRA LTDA,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,One Corporate,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,RB CAPITAL DTVM,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,TORO INVESTIMENTOS,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,UNICRED DTVM,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,ITAU BBA,1.0,42753927681.58,0.24385821096
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,BTG PACTUAL,2.0,32828001696.010002,0.18724309548
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,BRADESCO BBI,3.0,27490267614.04001,0.15679793279
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,SANTANDER,4.0,15784817319.61,0.09003283489
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,XP INVESTIMENTOS,5.0,13259774292.25,0.07563059143
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,UBS BB,6.0,11540651754.62,0.06582512632
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,SAFRA,7.0,6626130190.61,0.03779386694
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,VOTORANTIM,8.0,6361741894.179999,0.03628585912
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,CEF,9.0,4248025599.9999995,0.02422972529
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,ABC BRASIL,10.0,3096494084.8500004,0.01766166406
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,CITIGROUP,11.0,1984837400.39,0.01132103935
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,12.0,1727443000.0,0.00985292305
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,BNP PARIBAS,13.0,1425530750.0,0.00813088755
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,M7 IB,14.0,1086443687.0,0.00619681578
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,ultimos_12_meses,DAYCOVAL,15.0,901394800.1,0.00514134105
