competencia,segmento,nivel,valor
2015-04,Industrial,top,29793057709.66
2015-04,Imobiliario,top,319263831.64
2015-04,Comercial,top,10005143130.74
2015-04,Servicos,top,8413302767.75
2015-04,Agronegocio,top,1251084436.4499998
2015-04,Financeiro,top,16571706216.52
2015-04,Cartao de credito,top,974092833.6100001
2015-04,Factoring,top,324051396.66999996
2015-04,Setor publico,top,2400383726.25
2015-04,Acoes judiciais,top,2751546009.42
2015-04,Marcas e patentes,top,0.0
2015-04,Financeiro: credito pessoal,sub,1008439841.22
2015-04,Financeiro: consignado,sub,3256178938.54
2015-04,Financeiro: credito corporativo,sub,1381007005.48
2015-04,Financeiro: middle market,sub,1059903888.7099999
2015-04,Financeiro: veiculos,sub,4713990017.1
2015-04,Financeiro: imobiliario empresarial,sub,436047678.68
2015-04,Financeiro: imobiliario residencial,sub,791591797.48
2015-04,Financeiro: outros,sub,3924547049.3099995
2015-05,Industrial,top,26696312175.2
2015-05,Imobiliario,top,326136189.14
2015-05,Comercial,top,10015766546.15
2015-05,Servicos,top,8574834821.34
2015-05,Agronegocio,top,1154192115.5500002
2015-05,Financeiro,top,16971311208.630001
2015-05,Cartao de credito,top,902912423.8199999
2015-05,Factoring,top,587092706.0799999
2015-05,Setor publico,top,2395539295.55
2015-05,Acoes judiciais,top,2728780281.87
2015-05,Marcas e patentes,top,0.0
2015-05,Financeiro: credito pessoal,sub,1005467160.22
2015-05,Financeiro: consignado,sub,3601374880.85
2015-05,Financeiro: credito corporativo,sub,1303373611.6799998
2015-05,Financeiro: middle market,sub,1052899323.98
2015-05,Financeiro: veiculos,sub,4707501397.68
2015-05,Financeiro: imobiliario empresarial,sub,539680897.01
2015-05,Financeiro: imobiliario residencial,sub,766226412.2
2015-05,Financeiro: outros,sub,3994787525.01
2015-06,Industrial,top,28404041436.619995
2015-06,Imobiliario,top,309732951.69
2015-06,Comercial,top,10250990249.21
2015-06,Servicos,top,8888973687.539999
2015-06,Agronegocio,top,1117841041.56
2015-06,Financeiro,top,17372689639.7
