rank,participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,confidence_median,sector,administrators,managers,custodians,first_evidence_date,latest_evidence_date,commercial_signal_brl
49,02150453000120,02150453000120,OLIVEIRA TRUST SERVICER S/A,1,172486339.69666666,26666666.666666668,0.63,"Atividades financeiras, seguros e serviços relacionados",LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2024-09-02,2024-09-02,199153006.3633333
50,ALBAUGH AGRO BRASIL LTDA,,ALBAUGH AGRO BRASIL LTDA,1,172486339.69666666,26666666.666666668,0.68,,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-10-31,2025-10-31,199153006.3633333
51,61820817000109,61820817000109,BANCO PAULISTA S.A.,1,98525719.58,100000000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-11-27,2025-11-27,198525719.57999998
52,07652226000116,07652226000116,"LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A",1,90622249.78,97000000.1,0.95,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,RENTA GESTAO DE RECURSOS LTDA,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2021-06-16,2021-06-16,187622249.88
53,58505446000158,58505446000158,BRASFOR GESTÃO DE RISCOS LTDA,1,168655520.4,15000000.0,0.95,,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,BANCO FINAXIS S.A.,2026-04-20,2026-04-20,183655520.4
54,00242184000104,00242184000104,"ARMAC LOCACAO, LOGISTICA E SERVICOS S.A.",1,70381062.53,112500000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OPEA GESTORA DE RECURSOS LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-09-10,2025-09-10,182881062.53
55,33931486000564,33931486000564,MOSAIC FERTILIZANTES P&K LTDA.,1,55579531.31,120000000.0,0.93,Indústrias de transformação,BANCO GENIAL S.A.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,BANCO GENIAL S.A.,2022-10-21,2022-10-21,175579531.31
56,78626983000163,78626983000163,"firmados entre a Classe, na qualidade de endossatária, e o BANCO VR S.A",1,164182708.87,0.0,0.95,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,BANCO BTG PACTUAL S/A,2026-05-21,2026-05-21,164182708.87
57,24537861000171,24537861000171,FFA SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA,1,53100029.82,110000000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CONTEA CAPITAL GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2023-04-03,2023-04-03,163100029.82
58,04821041000108,04821041000108,www.singulare.com.br Cedentes METALFRIO Solutions S.A,1,43446011.65,115000000.03,0.84,,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,WNT GESTORA DE RECURSOS LTDA,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2022-03-21,2022-03-21,158446011.68
