cnpj_fundo,denominacao,pl_max,competencia_pl_max,competencias_observadas,anbima_tipo,anbima_foco,is_np
63212949000175,DUBROVNIK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3041013.45,2025-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
23669183000138,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA PREMIER CAPITAL MULTISETORIAL LONGO PRAZO,3026363.19,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
32240412000195,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS ESPORTES,3004992.98,2023-12,"2024-12, 2023-12",Outros,N/D,True
14351508000149,JGP CANVAS STRESSED FI EM COTAS DE FUNDO DE INVEST. EM DIREITOS CRED. NP MULTICARTEIRA,2979107.15,2023-12,2023-12,Outros,N/D,False
61594518000195,BUCKS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2976868.37,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
61084525000147,GARRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2969643.41,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
40944650000100,FRAM CAPITAL TONNENSEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,2936326.61,2023-12,"2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
36741133000166,AFRICA FUNDO DE INVESTIMENTO MULTIMERCADO RESPONSABILIDADE LIMITADA,2901345.89,2023-12,2023-12,Outros,Multicarteira Outros,False
22061694000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BREOF REAL ESTATE CREDIT RESPONSABILIDADE LIMITADA,2875414.46,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
23098169000121,CLASSE ÚNICA DE COTAS DO NFM FIDC DE RESPONSABILIDADE LIMITADA,2843676.82,2024-12,"2025-12, 2024-12, 2023-12",Outros,Poder Público,False
60864701000109,NEXUS TRADE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2805606.92,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
67253970000170,LC IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,2694072.15,2026-06,2026-06,N/D,N/D,False
44603374000177,TARGET BANK JS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2639617.58,2023-12,"2024-12, 2023-12",Outros,N/D,True
62782703000176,PORTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2634886.74,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
61171158000119,BLUE OPPORTUNITY PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - CLASSE A,2604064.39,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
62628909000146,SPT CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2558519.43,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
34867449000173,CENTERCOB II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2526390.32,2023-12,2023-12,Outros,N/D,False
59871316000100,UNION CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2473529.07,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
38315039000170,GYRA MAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS,2444597.89,2023-12,"2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
50356663000111,ABF VISION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2416983.31,2025-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,True
35865981000114,THUNDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2380838.59,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
51531376000163,"ORIGINAL PRECATÓRIOS I - FUNDO DE INVESTIMENTO EM DIRETOS CREDITÓRIOS""",2350791.48,2023-12,2023-12,Outros,N/D,False
63983416000197,MS SAÚDE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2326423.68,2026-06,"2026-06, 2025-12",N/D,N/D,False
62339639000153,M SKY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,2313010.86,2026-06,2026-06,N/D,N/D,False
53808123000110,PRECATÓRIOS SELECIONADOS 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2301213.46,2024-12,2024-12,Outros,N/D,False
16858989000109,OURO MAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2296953.49,2023-12,"2024-12, 2023-12",Outros,Poder Público,False
13342963000115,TARGET BANK JS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2290556.2,2023-12,"2024-12, 2023-12",Outros,N/D,False
66572354000119,KOMODO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO - RESP LIMITADA,2273611.0,2026-06,2026-06,N/D,N/D,False
48239452000157,AGATA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,2257485.34,2023-12,2023-12,Outros,N/D,True
57585602000175,AURIN INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - RESP. LIMITADA,2255222.63,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,True
54214825000138,KOB 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2236185.4,2025-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
32321319000105,BRAFIC CONSTRUÇÃO CIVIL FI EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,2200617.68,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
