nome,cnpj_prestador,pl,n_veiculos,n_fundos,share_pl,papel,fonte
CONTEA CAPITAL GESTAO DE RECURSOS LTDA,11325341000153,1228876795.4,18,18,0.0012821938127185392,gestor,cadastro_registro_fundo
ROOT CAPITAL - GESTÃO DE RECURSOS LTDA,11397040000135,1224550257.52,15,15,0.0012776795602556445,gestor,cadastro_registro_fundo
OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13673855000125,1205729272.87,4,4,0.0012580419935298071,gestor,cadastro_registro_fundo
BRZ GESTÃO DE RECURSOS LTDA.,14209785000111,1201573026.1599998,11,11,0.0012537054206238477,gestor,cadastro_registro_fundo
CVPAR INVESTIMENTOS LTDA,16492426000140,1172066586.8,11,11,0.0012229187916270557,gestor,cadastro_registro_fundo
GOLDEN ASSET GESTORA DE RECURSOS LTDA.,19910578000103,1152703953.6299999,4,4,0.0012027160759915702,gestor,cadastro_registro_fundo
TAG INVESTIMENTOS LTDA,01591499000111,1144391244.47,15,15,0.001194042705079386,gestor,cadastro_registro_fundo
ARC CAPITAL LTDA.,27690986000125,1144069583.44,8,8,0.0011937070882103863,gestor,cadastro_registro_fundo
PLURAL INVESTIMENTOS GESTÃO DE RECURSOS LTDA.,09630188000126,1130214063.42,14,14,0.0011792504216770587,gestor,cadastro_registro_fundo
CAIXA ECONOMICA FEDERAL,00360305000104,1129073722.6,2,2,0.001178060605131358,gestor,cadastro_registro_fundo
PIER GESTÃO DE RECURSOS FINANCEIROS LTDA.,48701625000107,1078065040.9,4,4,0.0011248388205590647,gestor,cadastro_registro_fundo
ASAROCK ASSET MANAGEMENT LTDA.,48352277000100,1077942894.2,10,10,0.0011247113743060551,gestor,cadastro_registro_fundo
V8 CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,11392069000124,1076065967.19,7,7,0.0011227530134612944,gestor,cadastro_registro_fundo
YARDS ASSET GESTORA DE RECURSOS LTDA.,37537640000145,1047986060.5699999,4,4,0.001093454809878437,gestor,cadastro_registro_fundo
BBS ASSET MANAGEMENT - ADMINISTRADORA DE RECURSOS LTDA,05677501000120,1046386092.8199999,10,10,0.0010917854246664464,gestor,cadastro_registro_fundo
CHIMERA CAPITAL ASSET MANAGEMENT LTDA.,37332689000161,987486336.4,17,17,0.0010303301969861395,gestor,cadastro_registro_fundo
ASSET BANK ASSET MANAGEMENT LTDA.,42221617000187,984104554.96,50,50,0.0010268016909108638,gestor,cadastro_registro_fundo
