competencia,tp_oper,valor
2023-09,Captações no Mês,30737828675.05
2023-10,Amortizações,236391357.2845685
2023-10,Captações no Mês,36282909883.07
2023-10,Resgates Solicitados,528796287.01
2023-10,Resgates no Mês,19977284029.41
2023-11,Resgates Solicitados,447446574.7000001
2023-11,Amortizações,18532009.93995784
2023-11,Captações no Mês,33691422855.74
2023-11,Resgates no Mês,22578982797.210003
2023-12,Resgates no Mês,33625259696.331
2023-12,Resgates Solicitados,204358720.17
2023-12,Captações no Mês,45893972469.39
2023-12,Amortizações,46598789.98457874
2024-01,Amortizações,141922368.73021913
2024-01,Captações no Mês,33759679712.02
2024-01,Resgates Solicitados,66414087.77
2024-01,Resgates no Mês,27704448646.269997
2024-02,Amortizações,80843738.06825392
2024-02,Captações no Mês,27662566956.219997
2024-02,Resgates Solicitados,90589059.96
2024-02,Resgates no Mês,29901287001.27
2024-03,Resgates no Mês,23384772428.54812
2024-03,Resgates Solicitados,1568927319.66
2024-03,Amortizações,30679440.11349838
2024-03,Captações no Mês,30377209999.03
2024-04,Amortizações,88271893.7309698
2024-04,Captações no Mês,56083213600.8
2024-04,Resgates Solicitados,140399565.33
2024-04,Resgates no Mês,16219796104.43
2024-05,Resgates no Mês,42694935686.01
2024-05,Resgates Solicitados,83751874.65
2024-05,Captações no Mês,45352862216.98
2024-05,Amortizações,91155512.58464274
2024-06,Amortizações,310102588.24299616
2024-06,Captações no Mês,47194790442.84726
2024-06,Resgates Solicitados,1560060021.6799998
2024-06,Resgates no Mês,41588560648.93
2024-07,Resgates Solicitados,263436901.42
2024-07,Resgates no Mês,19765721506.22
2024-07,Amortizações,201548293.4471464
2024-07,Captações no Mês,68016344653.55
2024-08,Amortizações,4024142.88101018
2024-08,Captações no Mês,34936832116.590004
2024-08,Resgates Solicitados,958535722.46
2024-08,Resgates no Mês,23871798577.41
2024-09,Resgates Solicitados,835259530.99
2024-09,Amortizações,76531066.62678859
2024-09,Captações no Mês,43584358183.69
2024-09,Resgates no Mês,34048051277.05
2024-10,Resgates no Mês,21591683174.24
2024-10,Resgates Solicitados,148159817.62
2024-10,Captações no Mês,51306735459.17999
2024-10,Amortizações,97453972.6029339
2024-11,Amortizações,28156288.83999038
2024-11,Captações no Mês,59559631025.14315
2024-11,Resgates Solicitados,22792322103.179996
2024-11,Resgates no Mês,14807918198.164171
2024-12,Amortizações,164660072.77585432
2024-12,Captações no Mês,88017143994.6
2024-12,Resgates Solicitados,51536641039.54
2024-12,Resgates no Mês,17076942888.82
2025-01,Amortizações,356538660.1916535
2025-01,Captações no Mês,39354258643.8
2025-01,Resgates Solicitados,35982103.86
2025-01,Resgates no Mês,41486057873.2
2025-02,Resgates no Mês,31030492114.300003
2025-02,Amortizações,240522334.7426182
2025-02,Captações no Mês,40199754117.74
2025-02,Resgates Solicitados,361638569.18
2025-03,Resgates no Mês,33820010360.1
2025-03,Resgates Solicitados,594016358.48
2025-03,Amortizações,309837273.5413044
2025-03,Captações no Mês,42244372583.09
2025-04,Amortizações,136696750.17392474
2025-04,Captações no Mês,48883503463.83
2025-04,Resgates Solicitados,563734793.7399999
2025-04,Resgates no Mês,37369496149.380005
2025-05,Resgates no Mês,30840767349.39
2025-05,Resgates Solicitados,748573229.41
2025-05,Amortizações,232130650.8621881
2025-05,Captações no Mês,45231208426.4273
2025-06,Amortizações,1117032484.1119
2025-06,Captações no Mês,83820643919.8
2025-06,Resgates Solicitados,527267737.24
2025-06,Resgates no Mês,16698908079.580002
2025-07,Resgates Solicitados,597807315.66
2025-07,Amortizações,111794690.87103884
2025-07,Captações no Mês,32599152509.11
2025-07,Resgates no Mês,22380154399.81
2025-08,Resgates no Mês,11064709668.21
2025-08,Resgates Solicitados,41351843.92
2025-08,Captações no Mês,17596409912.69
2025-08,Amortizações,69649128.8322067
2025-09,Amortizações,79211579.22786559
2025-09,Captações no Mês,29806985506.12
2025-09,Resgates Solicitados,1214832403.89
2025-09,Resgates no Mês,19072003443.45
2025-10,Amortizações,17173194.562298723
2025-10,Captações no Mês,23040543370.19
2025-10,Resgates Solicitados,173469926.44
2025-10,Resgates no Mês,8369657439.78
2025-11,Resgates no Mês,10940164197.53
2025-11,Resgates Solicitados,77364127.62
2025-11,Amortizações,28466298.41823729
2025-11,Captações no Mês,16619432001.02999
2025-12,Amortizações,172971505.3602124
2025-12,Captações no Mês,45889641491.245224
2025-12,Resgates Solicitados,2011411526.9937236
2025-12,Resgates no Mês,13309172852.138262
2026-01,Resgates no Mês,6579010384.7466545
2026-01,Resgates Solicitados,86507505.27638122
2026-01,Captações no Mês,13148708271.6274
2026-01,Amortizações,36678875.42879226
2026-02,Amortizações,34202013.60181824
2026-02,Captações no Mês,12338328246.46
2026-02,Resgates Solicitados,244241069.8999075
2026-02,Resgates no Mês,4718749115.853022
2026-03,Resgates Solicitados,158531881.293195
2026-03,Resgates no Mês,6186132418.598596
2026-03,Amortizações,121899332.300041
2026-03,Captações no Mês,28682710152.543
2026-04,Amortizações,1236910337.3235998
2026-04,Captações no Mês,24099275575.8524
2026-04,Resgates Solicitados,105927271.66319504
2026-04,Resgates no Mês,5886970850.074966
2026-05,Amortizações,16843315.52705901
2026-05,Captações no Mês,26203675590.2776
2026-05,Resgates Solicitados,105570915.37
2026-05,Resgates no Mês,5805822877.731381
2026-06,Amortizações,25405027.94824899
2026-06,Captações no Mês,47354414198.1671
2026-06,Resgates Solicitados,72081933.45
2026-06,Resgates no Mês,3555576582.10118
