competencia,n_veiculos,n_registros_classe,n_registros_fundo,pl_total,pl_fic_fidc,ativo_total,carteira_dc,dc_inadimplentes,dc_a_vencer_com_parcela_inad,inad_pct,dc_inadimplentes_ajustado,inad_pct_ajustada,carteira_dc_np,inad_pct_ajustada_ex_np,pl_condominio_aberto,pl_condominio_fechado,pl_exclusivo,x4_linhas_descartadas,x4_valor_descartado,captacoes,resgates,amortizacoes,captacao_liquida,cotistas_total,vl_cotas_total,vl_cotas_subordinadas,subordinacao_pct,x2_pl_coberto,vl_recompras,vl_substituicoes,tab4_duplicate_cnpjs,tab4_duplicate_rows_dropped,tab4_type_conflict_cnpjs,tab4_pl_conflict_cnpjs,tab4_class_preferred_cnpjs
2021-02,1234,2,1232,223091603475.12,8756747446.03,229704562412.78,163473793638.46,33500821655.640003,7284642332.669999,0.204930838821363,8884880337.99,0.0543504872569353,25187598170.51,0.0573794013741524,60001112325.619995,163090491149.5,54577238205.939995,0,0.0,18532145953.03,12962067827.57,4387552.07592816,5565690573.384071,33368,223843463447.7021,105429470083.57814,0.470996420711701,222488819870.53,565138704.46,0.0,,,,,
2021-03,1273,2,1271,246564478206.17,8901302301.939999,253261071148.42,177668473109.91,33662347218.29,8126748111.26,0.1894671948774257,9400171991.0,0.0529084976442884,25815217846.75,0.0553614442412912,71062963505.59999,175501514700.57,65835871352.05,0,0.0,31820119276.07,14401792042.150002,3700510.53016676,17414626723.38983,33780,245825399722.48172,115855752762.46828,0.4712928480672081,245659268180.15,743566074.6200001,0.0,,,,,
2021-04,1295,2,1293,267398646168.59003,8800692568.080002,274313927086.48,203971160806.13,33600415154.19,8272541140.670001,0.1647312052419333,9499518732.19,0.0465728522338463,24633536474.05,0.0477356747285106,86277739095.11,181120907073.48,81106178609.07,0,0.0,31983795787.500004,14394822330.09,959014359.3071955,16629959098.102808,33359,265797698266.01343,115930845742.9431,0.4361619626476906,265871635682.08,613382142.7,0.0,,,,,
2021-05,1338,2,1336,281722345080.47003,8897904944.800001,289363158783.69,199827101255.42,31434351275.69,9530713991.01,0.1573077479391069,9671143344.45,0.048397556105707,24393370707.64,0.0498797624783835,88337056407.56,193385288672.91,83469763234.13,0,0.0,22981581291.33,13814527207.14,4006147.77759897,9163047936.4124,34682,280783235919.31964,121187072187.73315,0.4316036596378392,280852374811.5,701556153.3800001,0.0,,,,,
2021-06,1369,2,1367,297768386704.68994,8980080523.65,305793139074.41003,221430239679.10004,31564433753.590004,10238767295.53,0.1425479816999414,9706083482.79,0.0438335951623238,24898633570.28,0.0442604053584316,101676428854.7,196091957849.99,97469951498.79,0,0.0,30337795702.030003,12558352970.49,31418728.45978007,17748024003.08022,36345,296201846207.2234,121753577692.86565,0.4110493545259221,296381470603.18,756897743.96,0.0,,,,,
2021-07,1383,2,1381,291917477115.07996,9165525633.3,299646124377.94995,208501162459.83997,31966815853.71,9890829317.23,0.1533172068518669,10070737722.599998,0.0483006310554251,21503198215.72,0.0462952009323931,108735975167.22,183181501947.86,100647895289.3,0,0.0,33010039158.34,20305342634.02,41869769.075581074,12662826755.24442,35559,291892541440.8573,111191498147.67282,0.3809329885539478,291791509366.08,694732592.9100001,52747.93,,,,,
2021-08,1424,2,1422,297461584263.74,9354389469.29,305155557054.63,220200597417.40997,32401374317.45,10685593245.22,0.1471448065875602,10501017289.0,0.0476884141649006,25723010104.74,0.0470930075912831,109653817852.39,187807766411.35,100229605130.28,0,0.0,30396761914.02,35133716869.35,32622913.5796306,-4769577868.909629,36154,276472354151.692,119180817716.09796,0.4310767999997101,290737076844.74,821338713.7199999,22217619.57,,,,,
2021-09,1456,2,1454,303933333049.2,9616348281.100002,314952828954.24,226146343066.26,34132776421.509995,11319438513.22,0.1509322501470175,12267104193.82,0.0542440971076228,28995604381.629997,0.0529188054213634,104624877310.13,199308455739.07,101845649707.95,1,144999999992854.0,22961072157.12,17814946218.86,10071030.96194833,5136054907.29805,36179,291847669895.26044,121496611668.50291,0.4163014620336223,294564605647.88,912822849.36,678957.87,,,,,
2021-10,1478,2,1476,309262607908.81,9791143532.63,319272427809.95,235525687660.96,36168979085.03999,8588199102.18,0.1535670246597702,14204416104.61,0.060309413574698,28154196407.14,0.0541759692079807,115706912568.95,193555695339.86,113873273619.85,0,0.0,38643165941.95,23156185329.44,946190198.54591,14540790413.964085,36927,300648984031.79236,111115878534.54724,0.3695867421351312,303453786048.85,1053951683.52,5792723.880000001,,,,,
2021-11,1493,2,1491,330582077353.89,9177629710.240002,341188175666.17,245420045846.62,37645235628.03,9401413784.85,0.1533910382021406,15979205142.05,0.0651096168078972,28905786698.17,0.0579826250637491,137048761033.91,193533316319.98,135921196031.63,3,112240708000.0,46000606013.18,16931225248.679998,948050029.3680106,28121330735.13199,28060,321268183632.57166,117258954544.72968,0.3649877595063585,324157555761.80005,911084486.23,19773528.1,,,,,
