priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal,cnpj,regulamento_count,document_count_total,latest_regulamento_file,latest_regulamento_date,pdf_extraction_status,setor_n1_document,setor_n2_document,setor_n1_final,setor_n2_final,feature_hits_count,feature_hits_share,subordination_main_pct,monocedente_or_multicedente,concentrated_or_pulverized_debtors,manual_review_status
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63662224000189,4.0,8.0,data/raw/63662224000189/1059307_regulamento_regulamento_1059307_2025-12-10_2025-12-10.pdf,2025-12-10,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
411,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,54326983000180,DAYCOVAL D93 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,50500000.0,50500000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,54326983000180,1.0,5.0,data/raw/54326983000180/747019_regulamento_regulamento_747019_2024-09-24_2024-09-24.pdf,2024-09-24,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,11.0,0.7857142857142857,,indeterminado,concentrado,triagem_documental_forte
412,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,57186320000103,JC LOKI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,50500000.0,50500000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57186320000103,3.0,7.0,data/raw/57186320000103/940775_regulamento_regulamento_940775_2025-07-07_2025-07-07.pdf,2025-07-07,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,5.0,0.35714285714285715,,indeterminado,indeterminado,regulamento_lido_heuristico
413,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,59765224000137,DAYCOVAL D238 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,50500000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,59765224000137,2.0,4.0,data/raw/59765224000137/1118786_regulamento_regulamento_1118786_2026-02-12_2026-02-12.pdf,2026-02-12,ok,FIC/Alocador,FIC de FIDC,FIC/Alocador,FIC de FIDC,3.0,0.21428571428571427,,indeterminado,indeterminado,regulamento_lido_heuristico
414,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,54681307000124,QUATTUOR BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,5,50000000.13,50000000.13,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,54681307000124,7.0,18.0,data/raw/54681307000124/1062154_regulamento_regulamento_1062154_2025-12-15_2025-12-15.pdf,2025-12-15,ok,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,8.0,0.5714285714285714,,indeterminado,concentrado,regulamento_lido_heuristico
415,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,57654431000199,ARC TURBI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,2,50000000.01,10000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57654431000199,2.0,7.0,data/raw/57654431000199/1147681_regulamento_regulamento_1147681_2026-03-18_2026-03-18.pdf,2026-03-18,ok,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,2.0,0.14285714285714285,,indeterminado,indeterminado,regulamento_lido_heuristico
416,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,23750225000160,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRAÇÃO FINANCEIRA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,23750225000160,12.0,18.0,data/raw/23750225000160/920263_regulamento_regulamento_920263_2025-06-09_2025-06-09.pdf,2025-06-09,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
417,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,58458737000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PEGCARD DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,58458737000132,7.0,13.0,data/raw/58458737000132/1170250_regulamento_regulamento_1170250_2026-04-27_2026-04-27.pdf,2026-04-27,ok,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
418,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,66192823000174,WAREHOUSE NOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,66192823000174,3.0,4.0,data/raw/66192823000174/1185004_regulamento_regulamento_1185004_2026-05-08_2026-05-08.pdf,2026-05-08,ok,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
419,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,65932023000180,TESOURARIA 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,50000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,65932023000180,2.0,3.0,data/raw/65932023000180/1209585_regulamento_regulamento_1209585_2026-05-22_2026-05-22.pdf,2026-05-22,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
420,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,64022139000119,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALTIS CAPITAL - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,64022139000119,3.0,5.0,data/raw/64022139000119/1062324_regulamento_regulamento_1062324_2025-12-15_2025-12-15.pdf,2025-12-15,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
421,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,63976069000175,FIBRA MERKAVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63976069000175,3.0,5.0,data/raw/63976069000175/1106951_regulamento_regulamento_1106951_2026-02-09_2026-02-09.pdf,2026-02-09,ok,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
422,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,63947144000170,ST2 MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,50000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63947144000170,2.0,4.0,data/raw/63947144000170/1094775_regulamento_regulamento_1094775_2026-01-22_2026-01-22.pdf,2026-01-22,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,8.0,0.5714285714285714,,indeterminado,concentrado,regulamento_lido_heuristico
423,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,62838423000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FEDERAL PADRONIZADO RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62838423000132,2.0,8.0,data/raw/62838423000132/1054962_regulamento_regulamento_1054962_2025-10-02_2025-10-02.pdf,2025-10-02,ok,Judicial/Precatórios/NPL,Precatórios/direitos judiciais,Judicial/Precatórios/NPL,Precatórios/direitos judiciais,2.0,0.14285714285714285,,indeterminado,indeterminado,regulamento_lido_heuristico
424,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,62800922000130,LIFT EVENT CAPITAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62800922000130,2.0,4.0,data/raw/62800922000130/1033357_regulamento_regulamento_1033357_2025-11-11_2025-11-11.pdf,2025-11-11,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
425,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,62392007000153,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DTBR II - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62392007000153,3.0,6.0,data/raw/62392007000153/1131019_regulamento_regulamento_1131019_2026-03-06_2026-03-06.pdf,2026-03-06,ok,Infra/Energia,Energia/infra,Infra/Energia,Energia/infra,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
426,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,59827367000126,DOTZFIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,59827367000126,11.0,18.0,data/raw/59827367000126/1190424_regulamento_regulamento_1190424_2026-05-12_2026-05-12.pdf,2026-05-12,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
427,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,58181879000103,SPLENDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,58181879000103,1.0,2.0,data/raw/58181879000103/810517_regulamento_regulamento_810517_2024-11-19_2024-11-19.pdf,2024-11-19,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,7.0,0.5,,indeterminado,devedor_nomeado,regulamento_lido_heuristico
428,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,30659408000130,PER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,2,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,30659408000130,18.0,18.0,data/raw/30659408000130/1081706_regulamento_regulamento_1081706_2025-05-28_2025-05-28.pdf,2025-05-28,ok,Meios de Pagamento e Cartões,Bancos Emissores,Meios de Pagamento e Cartões,Bancos Emissores,12.0,0.8571428571428571,,indeterminado,indeterminado,triagem_documental_forte
429,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,58059177000143,RED SEA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,58059177000143,12.0,18.0,data/raw/58059177000143/1046971_regulamento_regulamento_1046971_2025-11-24_2025-11-24.pdf,2025-11-24,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,7.0,0.5,,indeterminado,indeterminado,regulamento_lido_heuristico
430,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,57326317000130,CLASSE ÚNICA DO LCM STRIPES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57326317000130,0.0,2.0,,,sem_regulamento,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,0.0,0.0,,indeterminado,indeterminado,sem_documento_local
431,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,57223832000194,IRLANDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57223832000194,1.0,5.0,data/raw/57223832000194/736941_regulamento_regulamento_736941_2024-09-09_2024-09-09.pdf,2024-09-09,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,9.0,0.6428571428571429,,cedente_nomeado,concentrado,regulamento_lido_heuristico
432,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,54244336000129,SANTÉ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,54244336000129,8.0,14.0,data/raw/54244336000129/1187362_regulamento_regulamento_1187362_2026-05-11_2026-05-11.pdf,2026-05-11,ok,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,10.0,0.7142857142857143,,cedente_nomeado,indeterminado,triagem_documental_forte
433,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,54049164000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TAG SSI,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,54049164000132,4.0,16.0,data/raw/54049164000132/1068140_regulamento_regulamento_1068140_2025-12-22_2025-12-22.pdf,2025-12-22,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,6.0,0.42857142857142855,,indeterminado,indeterminado,regulamento_lido_heuristico
434,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,51476020000174,ORRAM HIGH YIELD FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,51476020000174,5.0,10.0,data/raw/51476020000174/622356_regulamento_regulamento_622356_2024-03-13_2024-03-13.pdf,2024-03-13,ok,Infra/Energia,Energia/infra,Infra/Energia,Energia/infra,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
435,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,42747344000109,MICROCRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,42747344000109,1.0,11.0,data/raw/42747344000109/635196_regulamento_regulamento_635196_2024-02-19_2024-02-19.pdf,2024-02-19,ok,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
436,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,39664088000181,MS MULTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,39664088000181,15.0,18.0,data/raw/39664088000181/994464_regulamento_regulamento_994464_2025-09-11_2025-09-11.pdf,2025-09-11,ok,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,10.0,0.7142857142857143,,cedente_nomeado,indeterminado,triagem_documental_forte
437,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,35655989000156,FUTEBOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA RESP LIMITADA,Não classificado,Revisar manualmente,baixa,1,50000000.0,50000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,35655989000156,9.0,10.0,data/raw/35655989000156/797949_regulamento_regulamento_797949_2024-11-25_2024-11-25.pdf,2024-11-25,ok,Infra/Energia,Energia/infra,Infra/Energia,Energia/infra,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
438,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,51707771000154,ROVER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,49999312.79,49999312.79,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,51707771000154,3.0,9.0,data/raw/51707771000154/794384_regulamento_regulamento_794384_2024-10-17_2024-10-17.pdf,2024-10-17,ok,Imobiliário,Imobiliário,Imobiliário,Imobiliário,11.0,0.7857142857142857,,cedente_nomeado,indeterminado,triagem_documental_forte
439,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,42627599000138,COOPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,4,46000006.33,46000006.33,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,42627599000138,15.0,18.0,data/raw/42627599000138/915977_regulamento_regulamento_915977_2025-06-02_2025-06-02.pdf,2025-06-02,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,12.0,0.8571428571428571,,indeterminado,concentrado,triagem_documental_forte
440,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,53030845000196,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS SKYFALL DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,45000000.0,45000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,53030845000196,4.0,18.0,data/raw/53030845000196/990970_regulamento_regulamento_990970_2025-09-11_2025-09-11.pdf,2025-09-11,ok,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,9.0,0.6428571428571429,,indeterminado,concentrado,regulamento_lido_heuristico
441,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,63615161000100,ROBBIN PAGAMENTOS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,45000000.0,45000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63615161000100,3.0,8.0,data/raw/63615161000100/1120498_regulamento_regulamento_1120498_2026-02-13_2026-02-13.pdf,2026-02-13,ok,Agro,Agro,Agro,Agro,10.0,0.7142857142857143,,indeterminado,concentrado,triagem_documental_forte
442,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,65216273000113,APG SAFIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,45000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,65216273000113,3.0,7.0,data/raw/65216273000113/1140866_regulamento_regulamento_1140866_2026-03-19_2026-03-19.pdf,2026-03-19,ok,Meios de Pagamento e Cartões,Bancos Emissores,Meios de Pagamento e Cartões,Bancos Emissores,10.0,0.7142857142857143,,indeterminado,indeterminado,triagem_documental_forte
443,Onda 4 - cauda longa/amostragem,sem_classificacao_setorial,31523773000186,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALI CRÉDITO,Não classificado,Revisar manualmente,baixa,2,43000000.0,43000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,31523773000186,16.0,18.0,data/raw/31523773000186/1118855_regulamento_regulamento_1118855_2026-02-19_2026-02-19.pdf,2026-02-19,ok,Imobiliário,Imobiliário,Imobiliário,Imobiliário,9.0,0.6428571428571429,,monocedente,concentrado,regulamento_lido_heuristico
