cnpj,document_classification,source_file,file_name,document_date,file_size_bytes
08692888000182,regulamento,data/raw/08692888000182/772020_regulamento_regulamento_772020_2024-11-05.pdf,772020_regulamento_regulamento_772020_2024-11-05.pdf,2024-11-05,5534419
08692888000182,outro,data/raw/08692888000182/783449_outro_outro_783449_2024-09-01.pdf,783449_outro_outro_783449_2024-09-01.pdf,2024-09-01,265929
08692888000182,outro,data/raw/08692888000182/791830_outro_outro_791830_2024-11-06.pdf,791830_outro_outro_791830_2024-11-06.pdf,2024-11-06,304138
08692888000182,outro,data/raw/08692888000182/827023_outro_outro_827023_2024-12-31.pdf,827023_outro_outro_827023_2024-12-31.pdf,2024-12-31,803727
08692888000182,outro,data/raw/08692888000182/841301_outro_outro_841301_2024-12-01.pdf,841301_outro_outro_841301_2024-12-01.pdf,2024-12-01,266154
08692888000182,outro,data/raw/08692888000182/847184_outro_outro_847184_2025-01-04.pdf,847184_outro_outro_847184_2025-01-04.pdf,2025-01-04,306855
08692888000182,assembleia,data/raw/08692888000182/854799_assembleia_assembleia_854799_2025-03-20.pdf,854799_assembleia_assembleia_854799_2025-03-20.pdf,2025-03-20,97721
08692888000182,assembleia,data/raw/08692888000182/856205_assembleia_assembleia_856205_2025-03-20.pdf,856205_assembleia_assembleia_856205_2025-03-20.pdf,2025-03-20,100158
08692888000182,assembleia,data/raw/08692888000182/863752_assembleia_assembleia_863752_2025-03-20.pdf,863752_assembleia_assembleia_863752_2025-03-20.pdf,2025-03-20,996554
08692888000182,outro,data/raw/08692888000182/903755_outro_outro_903755_2025-03-01.pdf,903755_outro_outro_903755_2025-03-01.pdf,2025-03-01,256307
08692888000182,outro,data/raw/08692888000182/909985_outro_outro_909985_2025-05-09.pdf,909985_outro_outro_909985_2025-05-09.pdf,2025-05-09,314627
08692888000182,outro,data/raw/08692888000182/967329_outro_outro_967329_2025-06-01.pdf,967329_outro_outro_967329_2025-06-01.pdf,2025-06-01,328176
10292322000105,assembleia,data/raw/10292322000105/1072779_assembleia_assembleia_1072779_2026-01-19.pdf,1072779_assembleia_assembleia_1072779_2026-01-19.pdf,2026-01-19,90240
10292322000105,assembleia,data/raw/10292322000105/1087997_assembleia_assembleia_1087997_2026-01-19.pdf,1087997_assembleia_assembleia_1087997_2026-01-19.pdf,2026-01-19,39493
10292322000105,assembleia,data/raw/10292322000105/1088000_assembleia_assembleia_1088000_2020-01-19.pdf,1088000_assembleia_assembleia_1088000_2020-01-19.pdf,2020-01-19,43869
