participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
cedente_originador,SERASA S.A.,62173620000180.0,1,11982393.84,0.77,"Atividades profissionais, científicas e técnicas"
cedente_originador,PEAK SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A.,44019481000152.0,1,9044890.95,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,PERCAPITAL SOCIEDADE DE CREDITO DIRETO S.A.,48707451000190.0,1,8466915.37,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,(II) GP7 JEQUIE DISTRIBUIDOR DE BEBIDAS LTDA,54228357000150.0,1,7083699.45,0.95,
cedente_originador,(III) GP7 MARABA DISTRIBUIDOR DE BEBIDAS LTDA,54202580000129.0,1,7083699.45,0.95,
cedente_originador,(IV) GP7 NORDESTE DISTRIBUIDOR DE BEBIDAS LTDA,33044500000184.0,1,7083699.45,0.95,
cedente_originador,(V) GP7 NORTE DISTRIBUIDOR DE BEBIDAS LTDA,48865127000108.0,1,7083699.45,0.95,
cedente_originador,"IBM BRASIL - INDUSTRIA, MAQUINAS, E SERVICOS LTDA",33372251000156.0,1,6036672.82,0.95,
cedente_originador,SEA BRAZIL IMPORTACAO E EXPORTACAO LTDA,9388688000284.0,1,3808327.44,0.95,Comércio e reparação de veículos
cedente_originador,TEXTIL BRASIL,6091541000230.0,1,3808327.44,0.95,Comércio e reparação de veículos
cedente_originador,"HIGHLIGHT COMERCIO DE TECIDOS, IMPORTACAO E EXPORTACAO LTDA",26482987000111.0,1,2008849.57,0.95,Comércio e reparação de veículos
cedente_originador,KESH PAGAMENTOS LTDA.,59459413000181.0,1,1870637.23,0.77,"Atividades profissionais, científicas e técnicas"
cedente_originador,BMGFOODS,10989834000125.0,1,0.0,0.93,Comércio e reparação de veículos
cedente_originador,CBA,5099585000405.0,1,0.0,0.6,Indústrias de transformação
cedente_originador,CBAA,5099585000162.0,1,0.0,0.67,Indústrias de transformação
cedente_originador,CBAA,5099585001053.0,1,0.0,0.93,Comércio e reparação de veículos
cedente_originador,CBAA,5099585001134.0,1,0.0,0.6,Indústrias de transformação
cedente_originador,CBAA,5099585001215.0,1,0.0,0.6,Indústrias de transformação
cedente_originador,CBAA- ASFALTOS,5099585001649.0,1,0.0,0.6,Comércio e reparação de veículos
cedente_originador,CBAA- ASFALTOS LTDA,5099585000758.0,1,0.0,0.67,Indústrias de transformação
cedente_originador,"CLOUDWALK FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",5503849000100.0,1,0.0,0.76,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,CONDOCONTA FINANCE S.A,,1,0.0,0.68,
cedente_originador,E A MOVA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,33959738000130.0,1,0.0,0.95,
cedente_originador,E A MOVA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,,1,0.0,0.68,
cedente_originador,FACIO PAGAMENTOS,31703183000135.0,1,0.0,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,FISERV DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,4962772000246.0,1,0.0,0.77,Informação e comunicação
cedente_originador,HELM DO BRASIL MERCANTIL LTDA,47176755000105.0,1,0.0,0.95,
cedente_originador,MAIS TODOS S.A,28101795000143.0,1,0.0,0.95,
cedente_originador,RT RENTAL SPE LTDA,62138578000166.0,1,0.0,0.93,Atividades administrativas e serviços complementares
cedente_originador,UP VENDAS,42679816000133.0,1,0.0,0.76,Informação e comunicação
cedente_originador,VEDA FINANCE.,14539429000166.0,1,0.0,0.6,"Atividades profissionais, científicas e técnicas"
consultora,ATMOS,51805971000140.0,3,364728356.79,0.78,"Atividades profissionais, científicas e técnicas"
consultora,SOMACRED CONSULTORIA LTDA,48884876000174.0,2,1597130209.96,0.8,"Atividades profissionais, científicas e técnicas"
consultora,GAVEA SECURITIZADORA,11193684000101.0,2,865900042.72,0.81,"Atividades financeiras, seguros e serviços relacionados"
consultora,MOTTA CORREA ADVOGADOS,43962892000114.0,2,321996114.21,0.83,"Atividades profissionais, científicas e técnicas"
consultora,SIZE FINTECH,14626482000102.0,2,193720847.77,0.95,Atividades administrativas e serviços complementares
consultora,M7 SERVICOS FINANCEIROS,17044073000188.0,2,130352090.93,0.855,"Atividades profissionais, científicas e técnicas"
consultora,ORRAM CONSULTORIA LTDA,46040380000199.0,2,56807665.82,0.8400000000000001,"Atividades profissionais, científicas e técnicas"
consultora,QFLASH TECNOLOGIA LTDA,31504994000107.0,2,51239743.08,0.855,"Atividades financeiras, seguros e serviços relacionados"
consultora,VANTO,53074457000107.0,2,26968179.25,0.8899999999999999,"Atividades financeiras, seguros e serviços relacionados"
consultora,ALCANCE,7099330000125.0,1,3232635081.26,0.78,"Atividades profissionais, científicas e técnicas"
consultora,"ALCANCE CONSULTORIA, SERVICOS E AGENCIAMENTO DE NEGOCIOS LTDA",,1,3232635081.26,0.68,
consultora,04936903000130,4936903000130.0,1,2133238063.57,0.6,
consultora,MULTIPLIKE SECURITIZADORA S.A.,14955141000172.0,1,2133238063.57,0.6,"Atividades financeiras, seguros e serviços relacionados"
consultora,OCANUJ CONSULTORIA DE CREDITO LTDA,46475479000113.0,1,1369294417.41,0.6,"Atividades financeiras, seguros e serviços relacionados"
consultora,IOX SECURITIZADORA S/A,18329685000180.0,1,1009951736.41,0.78,"Atividades financeiras, seguros e serviços relacionados"
consultora,OXSS SECURITIZADORA S.A,,1,1009951736.41,0.68,
consultora,CDP CAPITAL CONSULTORIA LTDA,22501078000122.0,1,655493512.2,0.78,"Atividades profissionais, científicas e técnicas"
consultora,E A CDP CAPITAL CONSULTORIA LTDA,,1,655493512.2,0.68,
consultora,LUX,18931361000117.0,1,485255813.47,0.78,Atividades administrativas e serviços complementares
consultora,LUX SERVICOS DE ANALISE E COBRANCA LTDA,,1,485255813.47,0.68,
consultora,NAXOS CAPITAL ASSESSORIA E CONSULTORIA LTDA,39154920000108.0,1,483783859.88,0.93,Atividades administrativas e serviços complementares
consultora,SANTA CRUZ CAPITAL,34267684000104.0,1,448538068.84,0.78,Atividades administrativas e serviços complementares
consultora,BANMINAS FINANCAS LTDA,,1,414747735.33,0.68,
consultora,TIRRENO FINANCAS E NEGOCIOS LTDA,26128693000196.0,1,402987124.85,0.76,Atividades administrativas e serviços complementares
consultora,CERES INVESTIMENTOS E CONSULTORIA,34250750000133.0,1,383406330.9,0.95,"Atividades financeiras, seguros e serviços relacionados"
consultora,BYX CAPITAL LTDA,,1,325054758.63,0.68,
consultora,LEVE CREDITO E COBRANCA LTDA,13373107000127.0,1,275751255.37,0.93,Atividades administrativas e serviços complementares
consultora,GONDIM ADVOGADOS ASSOCIADOS,6958644000173.0,1,260861017.67,0.93,"Atividades profissionais, científicas e técnicas"
consultora,MATRI,11648657000186.0,1,260861017.67,0.95,"Atividades profissionais, científicas e técnicas"
consultora,EMUNA SERVICOS LTDA,35271750000182.0,1,201535661.05,0.78,Atividades administrativas e serviços complementares
consultora,EMUNA SERVICOS LTDA,,1,201535661.05,0.68,
