competencia,tipo_recebivel_tabela_ii,fundos_incluidos_coorte_anterior,pl_incluido_brl_coorte_anterior,carteira_incluida_brl_coorte_anterior,inadimplencia_sobre_carteira_coorte_anterior,fundos_incluidos_coorte_atual,pl_incluido_brl_coorte_atual,carteira_incluida_brl_coorte_atual,inadimplencia_sobre_carteira_coorte_atual,delta_inadimplencia_pp,competencia_coorte_anterior,competencia_coorte_atual
2014-07,Setor público,4,1170942088.29,1146926355.47,0.0,4,1170942088.29,1146926355.47,0.0,0.0,2026-05,2026-06
2014-08,Agronegócio,1,138187202.04,96780851.29,0.0,1,138187202.04,96780851.29,0.0,0.0,2026-05,2026-06
2014-08,Ações judiciais,8,1185894247.39,1033682471.88,0.0,8,1185894247.39,1033682471.88,0.0,0.0,2026-05,2026-06
2014-08,Comercial,9,2855831746.77,2481974647.3,0.002308544064393675,8,2346532014.17,2078416970.14,0.0027567845732197086,0.00044824050882603375,2026-05,2026-06
2014-08,Financeiro,21,1238617808.7,1167011681.16,0.01397811438681178,22,1491266500.73,1344275531.08,0.09312795096361072,0.07914983657679894,2026-05,2026-06
2014-08,Imobiliário,1,5887379.65,5538250.97,0.006967719630083865,1,5887379.65,5538250.97,0.006967719630083865,0.0,2026-05,2026-06
2014-08,Industrial,1,20262217723.51,16948253149.16,0.0,1,20262217723.51,16948253149.16,0.0,0.0,2026-05,2026-06
2014-08,Serviços,8,2636579678.85,2407704254.02,0.0004556707735878289,9,3145879411.4500003,2811261931.18,0.00039025906758517314,-6.541170600265578e-05,2026-05,2026-06
2014-08,Setor público,4,1181953633.77,1154258688.4,0.0,4,1181953633.77,1154258688.4,0.0,0.0,2026-05,2026-06
2014-09,Agronegócio,1,139735704.8,108945681.01,0.0,1,139735704.8,108945681.01,0.0,0.0,2026-05,2026-06
2014-09,Ações judiciais,8,1209173590.53,1189643168.81,0.0,8,1209173590.53,1189643168.81,0.0,0.0,2026-05,2026-06
2014-09,Comercial,8,3195634539.08,2853483128.15,0.0016611596834894013,7,2676890679.02,2487390264.25,0.001905648340803986,0.00024448865731458466,2026-05,2026-06
2014-09,Financeiro,21,1077949792.19,1010144926.0600001,0.01772545159419676,22,1334548822.94,1205750705.8700001,0.10089682546958971,0.08317137387539295,2026-05,2026-06
2014-09,Imobiliário,1,6037766.03,6837507.33,0.00532890836403681,1,6037766.03,6837507.33,0.00532890836403681,0.0,2026-05,2026-06
2014-09,Industrial,1,19761468838.58,16307978754.71,0.0,1,19761468838.58,16307978754.71,0.0,0.0,2026-05,2026-06
2014-09,Serviços,9,3671805123.18,2699970217.52,0.0008221506984024934,10,4190548983.24,3066063081.42,0.0007239845825259217,-9.816611587657169e-05,2026-05,2026-06
2014-09,Setor público,4,1193231254.8400002,1162062063.54,0.0,4,1193231254.8400002,1162062063.54,0.0,0.0,2026-05,2026-06
2014-10,Agronegócio,1,142013715.21,137977425.68,0.0,1,142013715.21,137977425.68,0.0,0.0,2026-05,2026-06
