competencia_origem,competencia_destino,bridge_group,cnpj_14,cnpj,cnpj_fundo_14,cnpj_fundo,denominacao,reportava_origem,reportava_destino,pl_origem_brl,pl_destino_brl,delta_pl_brl,carteira_origem_brl,carteira_destino_brl,delta_carteira_brl,inad_bruta_origem_brl,inad_bruta_destino_brl,delta_inad_bruta_brl,inad_ajustada_origem_brl,inad_ajustada_destino_brl,delta_inad_ajustada_brl,excesso_origem_brl,excesso_destino_brl,delta_excesso_brl,contribuicao_abs
2024-06,2024-07,fundos continuantes,11507489000109,11.507.489/0001-09,11507489000109,11.507.489/0001-09,BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,232209813.0,247932077.59,15722264.590000004,142071070.56,152164838.55,10093767.99000001,8315058.390000001,11193433.42,2878375.0299999993,8315058.390000001,11193433.42,2878375.0299999993,0.0,0.0,0.0,2878375.0299999993
2024-06,2024-07,fundos continuantes,38448253000103,38.448.253/0001-03,38448253000103,38.448.253/0001-03,FRAM CAPITAL BALTO FUNDO DE INVESTIMENTO E DIREITOS CREDITORIOS NAO - PADRONIZADOS,True,True,18910483.2,18864566.15,-45917.050000000745,18909482.29,18911934.27,2451.980000000447,808454.55,3681954.73,2873500.1799999997,808454.55,3681954.73,2873500.1799999997,0.0,0.0,0.0,2873500.1799999997
2024-06,2024-07,fundos continuantes,53180877000178,53.180.877/0001-78,53180877000178,53.180.877/0001-78,MATUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,21075132.42,22192037.41,1116904.9899999984,19632302.38,21362911.22,1730608.8399999999,2846565.08,0.0,-2846565.08,2846565.08,0.0,-2846565.08,0.0,0.0,0.0,2846565.08
2024-06,2024-07,fundos continuantes,26199650000100,26.199.650/0001-00,26199650000100,26.199.650/0001-00,MERCANTIL DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTI OPEN I,True,True,36352295.97,36145914.19,-206381.7800000012,36162441.54,36298443.77,136002.23000000417,1251374.23,4091982.21,2840607.98,1251374.23,4091982.21,2840607.98,0.0,0.0,0.0,2840607.98
2024-06,2024-07,fundos continuantes,52910525000168,52.910.525/0001-68,52910525000168,52.910.525/0001-68,KMRBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,35429200.57,36184912.16,755711.5899999961,35484376.87,34503392.52,-980984.349999994,4828329.93,2017473.42,-2810856.51,4828329.93,2017473.42,-2810856.51,0.0,0.0,0.0,2810856.51
2024-06,2024-07,fundos continuantes,26812976000152,26.812.976/0001-52,26812976000152,26.812.976/0001-52,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA IMOBILIÁRIO MULTI,True,True,25509632.24,25774789.03,265156.79000000283,24529769.02,23424795.73,-1104973.289999999,5934109.16,3133538.84,-2800570.3200000003,5934109.16,3133538.84,-2800570.3200000003,0.0,0.0,0.0,2800570.3200000003
2024-06,2024-07,fundos continuantes,14770038000158,14.770.038/0001-58,14770038000158,14.770.038/0001-58,MULTIPLIX MULTISSETORIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,True,221557051.63,209932650.44,-11624401.189999998,180396443.78,185230534.67,4834090.889999986,10346505.92,13132541.72,2786035.8000000007,10346505.92,13132541.72,2786035.8000000007,0.0,0.0,0.0,2786035.8000000007
2024-06,2024-07,fundos continuantes,38314763000180,38.314.763/0001-80,38314763000180,38.314.763/0001-80,SOMA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,707232643.41,721966495.37,14733851.960000038,663989320.02,685291943.06,21302623.03999996,14373331.34,17146540.12,2773208.780000001,14373331.34,17146540.12,2773208.780000001,0.0,0.0,0.0,2773208.780000001
2024-06,2024-07,fundos continuantes,20093858000155,20.093.858/0001-55,20093858000155,20.093.858/0001-55,IB SIGMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,193304619.99,195652178.76,2347558.769999981,167962416.73,178811897.68,10849480.950000018,10004298.75,12765496.8,2761198.0500000007,10004298.75,12765496.8,2761198.0500000007,0.0,0.0,0.0,2761198.0500000007
2024-06,2024-07,fundos continuantes,35823530000114,35.823.530/0001-14,35823530000114,35.823.530/0001-14,BANMINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,246061501.03,250856167.56,4794666.530000001,225255164.23,240118366.23,14863202.0,8591680.57,5864555.369999999,-2727125.200000001,8591680.57,5864555.369999999,-2727125.200000001,0.0,0.0,0.0,2727125.200000001
