grupo,fundo,nome_curto,cnpj,data_referencia,evento,categoria,tipo_documento,especie,documento_id,arquivo_local_existe,source_file
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022 17:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,365260,True,data/raw/33254370000104/365260_assembleia_assembleia_365260_2022-10-14.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022,Regulamento / alteração regulatória,regulamento,Regulamento,,365262,True,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,12/2022,Informe trimestral,outro,Informe Trimestral,,418639,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/12/2022,Relatório de rating,outro,Relatório de Agência de Rating,,417767,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/12/2022,Relatório de rating,outro,Relatório de Agência de Rating,,418417,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/12/2022,Demonstrações financeiras,outro,Demonstrações Financeiras,,513758,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/2023,Informe trimestral,outro,Informe Trimestral,,461146,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,16/03/2023 09:00,Assembleia / deliberação,assembleia,AGO/E,Ata da Assembleia,433414,True,data/raw/33254370000104/433414_assembleia_assembleia_433414_2023-03-16.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/03/2023,Relatório de rating,outro,Relatório de Agência de Rating,,463085,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,17/04/2023 09:00,Assembleia / deliberação,assembleia,AGO/E,Ata da Assembleia,447603,True,data/raw/33254370000104/447603_assembleia_assembleia_447603_2023-04-17.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,26/04/2023 16:00,Assembleia / deliberação,assembleia,AGO/E,Ata da Assembleia,451292,True,data/raw/33254370000104/451292_assembleia_assembleia_451292_2023-04-26.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,26/04/2023,Regulamento / alteração regulatória,regulamento,Regulamento,,451354,True,data/raw/33254370000104/451354_regulamento_regulamento_451354_2023-04-26.pdf
