rank_pl_fundo,cnpj_fundo_raw,fundo,pl_fundo_reais,pl_fundo_pct_industria_origem,pl_acumulado_pct_origem,cedentes_declarados_fundo,administrador,cnpj_fundo,pl_negativo_flag,cedente_declarado_flag,pl_com_cedente_reais,pl_sem_cedente_reais,pl_total_acumulado_reais,pl_total_acumulado_pct,fundos_com_cedente_acumulado,fundos_sem_cedente_acumulado,pl_com_cedente_acumulado_reais,pl_sem_cedente_acumulado_reais,pl_com_cedente_acumulado_pct_industria,pl_sem_cedente_acumulado_pct_industria,pl_com_cedente_pct_dentro_corte,dentro_corte_recomendado_flag,corte_recomendado_flag,marco_cobertura
41,33.254.370/0001-04,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3017886933.33,0.0030202238624,0.306378731051,0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,33254370000104,False,False,0,3017886933.33,306141667377.65,0.306378731051,14,27,125939392027.39,180202275350.26,0.126036914378,0.180341816674,0.411376187718,True,False,
42,11.230.727/0001-81,FIDC GM - VENDA DE VEÍCULOS,2984648919.61,0.00298696011052,0.309365691162,1,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,11230727000181,False,True,2984648919.61,0,309126316297.26,0.309365691162,15,27,128924040947.00,180202275350.26,0.129023874488,0.180341816674,0.417059416006,True,False,
43,65.976.848/0001-04,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,2967229777.92,0.00296952748015,0.312335218642,0,OLIVEIRA TRUST DTVM S.A.,65976848000104,False,False,0,2967229777.92,312093546075.18,0.312335218642,15,28,128924040947.00,183169505128.18,0.129023874488,0.183311344154,0.413094223089,True,False,
44,53.029.409/0001-05,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,2943415740.48,0.00294569500209,0.315280913644,0,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,53029409000105,False,False,0,2943415740.48,315036961815.66,0.315280913644,15,29,128924040947.00,186112920868.66,0.129023874488,0.186257039156,0.409234650449,True,False,
45,55.471.753/0001-77,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,2879663753.83,0.00288189364849,0.318162807293,0,OLIVEIRA TRUST DTVM S.A.,55471753000177,False,False,0,2879663753.83,317916625569.49,0.318162807293,15,30,128924040947.00,188992584622.49,0.129023874488,0.189138932804,0.405527835218,True,False,
46,32.321.307/0001-80,CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,2712460624.74,0.00271456104409,0.320877368337,0,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,32321307000180,False,False,0,2712460624.74,320629086194.23,0.320877368337,15,31,128924040947.00,191705045247.23,0.129023874488,0.191853493848,0.402097147446,True,False,
47,55.344.996/0001-44,SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2711197599.31,0.00271329704062,0.323590665377,0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,55344996000144,False,False,0,2711197599.31,323340283793.54,0.323590665377,15,32,128924040947.00,194416242846.54,0.129023874488,0.194566790889,0.398725576147,True,False,
48,57.609.282/0001-46,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,2700487143.69,0.00270257829126,0.326293243669,0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,57609282000146,False,False,0,2700487143.69,326040770937.23,0.326293243669,15,33,128924040947.00,197116729990.23,0.129023874488,0.19726936918,0.395423064963,True,False,
49,54.836.930/0001-09,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS METEORO - RESP LTDA,2688587997.05,0.0026906699304,0.328983913599,0,OLIVEIRA TRUST DTVM S.A.,54836930000109,False,False,0,2688587997.05,328729358934.28,0.328983913599,15,34,128924040947.00,199805317987.28,0.129023874488,0.199960039111,0.392189007288,True,False,
50,52.256.912/0001-22,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,2661592324.90,0.0026636533539,0.331647566953,0,OLIVEIRA TRUST DTVM S.A.,52256912000122,False,False,0,2661592324.90,331390951259.18,0.331647566953,15,35,128924040947.00,202466910312.18,0.129023874488,0.202623692465,0.389039110625,True,False,
