CNPJ,CNPJ formatado,Competências,Primeira competência,Última competência
10989834000125,10.989.834/0001-25,202412 · 202512,202412,202512
11074190001007,11.074.190/0010-07,202312,202312,202312
11137051000186,11.137.051/0001-86,202512,202512,202512
11275560000175,11.275.560/0001-75,202312 · 202412,202312,202412
11283356000104,11.283.356/0001-04,202412 · 202512 · 202606,202412,202606
11354634000169,11.354.634/0001-69,202512 · 202606,202512,202606
11375619000105,11.375.619/0001-05,202312 · 202412,202312,202412
11468186000124,11.468.186/0001-24,202512,202512,202512
11489344000122,11.489.344/0001-22,202312,202312,202312
11581339000145,11.581.339/0001-45,202312 · 202412 · 202512 · 202606,202312,202606
11609581000180,11.609.581/0001-80,202312 · 202412 · 202512 · 202606,202312,202606
11610856000448,11.610.856/0004-48,202606,202606,202606
11648657000186,11.648.657/0001-86,202312,202312,202312
11669021000110,11.669.021/0001-10,202312,202312,202312
11719190000118,11.719.190/0001-18,202412,202412,202412
11760553000169,11.760.553/0001-69,202312,202312,202312
11827200000139,11.827.200/0001-39,202512,202512,202512
11989750000154,11.989.750/0001-54,202312,202312,202312
12229415000110,12.229.415/0001-10,202312 · 202412,202312,202412
12265245000120,12.265.245/0001-20,202412,202412,202412
12274379000107,12.274.379/0001-07,202312 · 202412,202312,202412
12282034000103,12.282.034/0001-03,202312 · 202412 · 202512 · 202606,202312,202606
12401806000170,12.401.806/0001-70,202312 · 202412 · 202512 · 202606,202312,202606
12528708000107,12.528.708/0001-07,202412,202412,202412
12706289000148,12.706.289/0001-48,202312,202312,202312
12813212000177,12.813.212/0001-77,202512,202512,202512
12827269000125,12.827.269/0001-25,202312 · 202412 · 202512 · 202606,202312,202606
12979898000170,12.979.898/0001-70,202606,202606,202606
13051485000194,13.051.485/0001-94,202412,202412,202412
13072143000150,13.072.143/0001-50,202512,202512,202512
13427325000105,13.427.325/0001-05,202312 · 202412 · 202512 · 202606,202312,202606
14014761000107,14.014.761/0001-07,202312,202312,202312
14051028000162,14.051.028/0001-62,202512,202512,202512
14168536000125,14.168.536/0001-25,202412,202412,202412
14437954000170,14.437.954/0001-70,202512,202512,202512
15009178000170,15.009.178/0001-70,202312,202312,202312
15111975000164,15.111.975/0001-64,202312,202312,202312
15131446000122,15.131.446/0001-22,202312,202312,202312
15413826000150,15.413.826/0001-50,202312 · 202412 · 202512 · 202606,202312,202606
15417965000151,15.417.965/0001-51,202312 · 202412,202312,202412
15484093000144,15.484.093/0001-44,202312,202312,202312
16501555000157,16.501.555/0001-57,202412 · 202512 · 202606,202412,202606
16668076000120,16.668.076/0001-20,202512 · 202606,202512,202606
16668076000391,16.668.076/0003-91,202312 · 202412 · 202512,202312,202512
16701716000156,16.701.716/0001-56,202312 · 202412 · 202512 · 202606,202312,202606
16701716003686,16.701.716/0036-86,202312 · 202412 · 202512 · 202606,202312,202606
17245234000100,17.245.234/0001-00,202312,202312,202312
17250006000110,17.250.006/0001-10,202312,202312,202312
17262213000194,17.262.213/0001-94,202312 · 202512,202312,202512
17298092000130,17.298.092/0001-30,202312,202312,202312
17334155000167,17.334.155/0001-67,202512,202512,202512
17359233000188,17.359.233/0001-88,202512 · 202606,202512,202606
17417928000179,17.417.928/0001-79,202312 · 202412 · 202512 · 202606,202312,202606
17467888000170,17.467.888/0001-70,202412 · 202512,202412,202512
17568683000180,17.568.683/0001-80,202606,202606,202606
17598968000164,17.598.968/0001-64,202606,202606,202606
17609531000189,17.609.531/0001-89,202312,202312,202312
17707098000114,17.707.098/0001-14,202312,202312,202312
17868590000171,17.868.590/0001-71,202312 · 202412,202312,202412
18185812000114,18.185.812/0001-14,202512,202512,202512
18188384000183,18.188.384/0001-83,202312 · 202412 · 202512 · 202606,202312,202606
18189547000142,18.189.547/0001-42,202312 · 202412 · 202512 · 202606,202312,202606
18650225000159,18.650.225/0001-59,202312 · 202412 · 202512 · 202606,202312,202606
18786988000121,18.786.988/0001-21,202312 · 202512,202312,202512
18858234000130,18.858.234/0001-30,202312,202312,202312
18911897000170,18.911.897/0001-70,202512,202512,202512
19192939000123,19.192.939/0001-23,202606,202606,202606
19388423000159,19.388.423/0001-59,202512,202512,202512
19394639000127,19.394.639/0001-27,202312 · 202412 · 202512 · 202606,202312,202606
19417823000145,19.417.823/0001-45,202412,202412,202412
19468242000132,19.468.242/0001-32,202512 · 202606,202512,202606
19657820000189,19.657.820/0001-89,202512,202512,202512
19821234000128,19.821.234/0001-28,202312 · 202412,202312,202412
19852890000198,19.852.890/0001-98,202512,202512,202512
20003699000150,20.003.699/0001-50,202512 · 202606,202512,202606
20520298000178,20.520.298/0001-78,202412,202412,202412
20704757001307,20.704.757/0013-07,202512,202512,202512
20791371000146,20.791.371/0001-46,202512,202512,202512
20937849000101,20.937.849/0001-01,202312 · 202412,202312,202412
21021588000130,21.021.588/0001-30,202512 · 202606,202512,202606
21126275000146,21.126.275/0001-46,202312,202312,202312
21161326000170,21.161.326/0001-70,202606,202606,202606
21332862000191,21.332.862/0001-91,202312 · 202412 · 202512 · 202606,202312,202606
22073043000130,22.073.043/0001-30,202312,202312,202312
22358482000199,22.358.482/0001-99,202512,202512,202512
22896431000110,22.896.431/0001-10,202312 · 202412 · 202512 · 202606,202312,202606
22896905000124,22.896.905/0001-24,202312 · 202412,202312,202412
22942368000101,22.942.368/0001-01,202606,202606,202606
23104485000169,23.104.485/0001-69,202512,202512,202512
23200289000198,23.200.289/0001-98,202512,202512,202512
23216398000101,23.216.398/0001-01,202312,202312,202312
23363535000122,23.363.535/0001-22,202606,202606,202606
23594657000120,23.594.657/0001-20,202312,202312,202312
23954863000101,23.954.863/0001-01,202512,202512,202512
23956882000169,23.956.882/0001-69,202512,202512,202512
24006876000103,24.006.876/0001-03,202512,202512,202512
24155554000126,24.155.554/0001-26,202606,202606,202606
24168115000158,24.168.115/0001-58,202312,202312,202312
24168115000239,24.168.115/0002-39,202312,202312,202312
24241659000106,24.241.659/0001-06,202312 · 202412 · 202512 · 202606,202312,202606
24504464000101,24.504.464/0001-01,202512,202512,202512
24506071000129,24.506.071/0001-29,202512,202512,202512
25179512000198,25.179.512/0001-98,202312 · 202412,202312,202412
25298162000189,25.298.162/0001-89,202412,202412,202412
25382606000160,25.382.606/0001-60,202512,202512,202512
26558785000106,26.558.785/0001-06,202512,202512,202512
26648752000157,26.648.752/0001-57,202512,202512,202512
26756137000164,26.756.137/0001-64,202512,202512,202512
26982634000180,26.982.634/0001-80,202412 · 202512 · 202606,202412,202606
26994558000123,26.994.558/0001-23,202512,202512,202512
27187531000191,27.187.531/0001-91,202606,202606,202606
27659347000105,27.659.347/0001-05,202512 · 202606,202512,202606
27814911000109,27.814.911/0001-09,202312,202312,202312
28153046000160,28.153.046/0001-60,202512,202512,202512
28403532000199,28.403.532/0001-99,202312 · 202412,202312,202412
28411905000173,28.411.905/0001-73,202512,202512,202512
28494032000100,28.494.032/0001-00,202512 · 202606,202512,202606
28651441000172,28.651.441/0001-72,202512,202512,202512
28689723000169,28.689.723/0001-69,202412,202412,202412
28696715000140,28.696.715/0001-40,202606,202606,202606
28931004000102,28.931.004/0001-02,202512 · 202606,202512,202606
28939197000148,28.939.197/0001-48,202512 · 202606,202512,202606
28963189000137,28.963.189/0001-37,202512 · 202606,202512,202606
29109350000172,29.109.350/0001-72,202512,202512,202512
29226654000110,29.226.654/0001-10,202512,202512,202512
29226704000169,29.226.704/0001-69,202512,202512,202512
29242999000167,29.242.999/0001-67,202512,202512,202512
29301202000155,29.301.202/0001-55,202412,202412,202412
29307609000190,29.307.609/0001-90,202412 · 202512 · 202606,202412,202606
29316596000115,29.316.596/0001-15,202512,202512,202512
29494037000103,29.494.037/0001-03,202412 · 202512,202412,202512
29494203000163,29.494.203/0001-63,202606,202606,202606
29720593000142,29.720.593/0001-42,202412,202412,202412
29720595000131,29.720.595/0001-31,202412,202412,202412
29759316000143,29.759.316/0001-43,202412,202412,202412
30213493000109,30.213.493/0001-09,202312,202312,202312
30306294000145,30.306.294/0001-45,202312,202312,202312
30687481000116,30.687.481/0001-16,202512 · 202606,202512,202606
30723886000162,30.723.886/0001-62,202312,202312,202312
30740917000193,30.740.917/0001-93,202606,202606,202606
30791358000140,30.791.358/0001-40,202512,202512,202512
30980329000127,30.980.329/0001-27,202312,202312,202312
31024386000103,31.024.386/0001-03,202512,202512,202512
31703183000135,31.703.183/0001-35,202606,202606,202606
31911792000180,31.911.792/0001-80,202312,202312,202312
