competencia,classe_analitica,participant,pl_brl,fundos,share_tipo,rank_tipo
2024-12,Financeiro,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3473288932.31,16,0.018669061853998123,13
2024-12,Financeiro,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,4384157705.2699995,12,0.02356501660889263,11
2024-12,Financeiro,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1917776957.8799999,7,0.010308125049942881,19
2024-12,Financeiro,GRUPO BRADESCO/BEM,1196519266.92,4,0.006431337167441922,22
2024-12,Financeiro,GRUPO GENIAL,6557169468.12,24,0.03524503857099623,8
2024-12,Financeiro,HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,88935635.56,1,0.00047803246826057174,32
2024-12,Financeiro,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5343303637.650001,36,0.028720462956025018,9
2024-12,Financeiro,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,4630471653.93,71,0.024888963574622818,10
2024-12,Financeiro,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,538426929.25,1,0.002894065492945106,27
2024-12,Financeiro,LASTRO RDV DTVM LTDA,235716231.95,5,0.0012669838300320112,29
2024-12,Financeiro,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2623489376.18,31,0.014101356492860855,17
2024-12,Financeiro,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7658852.63,1,4.1166628019348594e-05,36
2024-12,Financeiro,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1281900334.92,13,0.006890263698092598,21
2024-12,Financeiro,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,75121485.58,5,0.00040378087979122264,33
2024-12,Financeiro,OLIVEIRA TRUST,13473905909.94,42,0.07242276348150632,3
2024-12,Financeiro,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1456553556.92,1,0.00782903149658655,20
2024-12,Financeiro,PLANNER CORRETORA DE VALORES S.A,2213363508.54,47,0.011896914150137718,18
2024-12,Financeiro,QI TECH + SINGULARE,6768246364.190001,60,0.036379585021198965,7
2024-12,Financeiro,REAG/CBSF,50414169341.01,136,0.2709781029127606,1
2024-12,Financeiro,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,4142246797.3399997,5,0.022264736156756917,12
2024-12,Financeiro,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,561759999.65,4,0.0030194816454825746,26
